Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
91,46,BUY (ENTRY),2011-02-08,TVSHLTD.NS,Weekly,157.65,223,134.59,30013.57,0.0,0.0,0.0,0.0,84431.67000000003,1:2,OPEN,N/A
92,45,SELL (EXIT),2011-02-09,GULFPETRO.NS,Weekly,10.74,1477,10.01,15789.13,-1004.36,49.98,-1054.34,-6.677632016456892,129180.03000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0045_GULFPETRO.NS_2011-01-31_LOSS.png
93,46,SELL (EXIT),2011-02-09,TVSHLTD.NS,Weekly,157.65,223,130.12,30013.57,-996.81,81.6,-1078.41,-3.5930747325293195,128101.62000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0046_TVSHLTD.NS_2011-02-08_LOSS.png
94,47,BUY (ENTRY),2011-02-09,GODREJCP.NS,Weekly,117.83,213,113.38,24149.94,0.0,0.0,0.0,0.0,103951.68000000002,1:2,OPEN,N/A
95,48,BUY (ENTRY),2011-02-10,ELECON.NS,Weekly,30.05,552,31.31,17283.12,0.0,0.0,0.0,0.0,86668.56000000003,1:2,OPEN,N/A
96,47,SELL (EXIT),2011-02-15,GODREJCP.NS,Weekly,117.83,213,122.76,24149.94,1997.94,71.67,1926.27,7.976293108802755,130027.89000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0047_GODREJCP.NS_2011-02-09_PROFIT.png
97,48,SELL (EXIT),2011-02-15,ELECON.NS,Weekly,30.05,552,34.93,17283.12,1998.24,56.41,1941.83,11.23541351330084,131969.72000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0048_ELECON.NS_2011-02-10_PROFIT.png
98,49,BUY (ENTRY),2011-02-15,SKMEGGPROD.NS,Yearly,5.5,6263,4.9,30688.7,0.0,0.0,0.0,0.0,101281.02000000003,1:2,OPEN,N/A
99,50,BUY (ENTRY),2011-02-15,SKMEGGPROD.NS,Yearly,5.5,6263,4.9,30688.7,0.0,0.0,0.0,0.0,70592.32000000004,1:2,OPEN,N/A
100,49,SELL (EXIT),2011-02-16,SKMEGGPROD.NS,Yearly,5.5,6263,5.22,30688.7,2004.16,86.21,1917.95,6.249694512964055,133887.67000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0049_SKMEGGPROD.NS_2011-02-15_PROFIT.png
101,50,SELL (EXIT),2011-02-16,SKMEGGPROD.NS,Yearly,5.5,6263,5.22,30688.7,2004.16,86.21,1917.95,6.249694512964055,135805.62000000005,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0050_SKMEGGPROD.NS_2011-02-15_PROFIT.png
102,51,BUY (ENTRY),2011-02-16,ASIANTILES.NS,Weekly,26.55,692,26.89,18607.88,0.0,0.0,0.0,0.0,117197.74000000005,1:2,OPEN,N/A
103,52,BUY (ENTRY),2011-02-17,BIRLACORPN.NS,Weekly,300.05,70,315.11,22057.7,0.0,0.0,0.0,0.0,95140.04000000005,1:2,OPEN,N/A
104,51,SELL (EXIT),2011-02-25,ASIANTILES.NS,Weekly,26.55,692,29.78,18607.88,1999.88,59.36,1940.52,10.428485136404577,137746.14000000004,1:2,Success,N/A
105,53,BUY (ENTRY),2011-02-18,TIL.NS,Weekly,515.15,72,547.55,39423.6,0.0,0.0,0.0,0.0,76264.84000000004,1:2,OPEN,N/A
106,53,SELL (EXIT),2011-02-22,TIL.NS,Weekly,515.15,72,575.21,39423.6,1991.52,105.61,1885.91,4.783708235676093,139632.05000000005,1:2,Success,N/A
107,54,BUY (ENTRY),2011-02-22,VINDHYATEL.NS,Weekly,216.15,185,197.2,36482.0,0.0,0.0,0.0,0.0,81092.35000000005,1:2,OPEN,N/A
108,54,SELL (EXIT),2011-02-23,VINDHYATEL.NS,Weekly,216.15,185,207.97,36482.0,1992.45,99.07,1893.38,5.1899018694150545,141525.43000000005,1:2,Success,N/A
109,55,BUY (ENTRY),2011-02-23,TRIVENI.NS,Monthly,46.87,421,47.27,19900.670000000002,0.0,0.0,0.0,0.0,99567.06000000006,1:2,OPEN,N/A
